author-1,author-2,weight
0,5,9
0,58,9
0,81,1
0,147,9
1,6,1
1,58,1
1,109,1
1,147,1
2,11,4
2,58,1
2,73,1
2,75,1
2,93,1
2,129,1
3,19,1
3,28,1
3,53,1
3,58,6
3,65,1
3,81,1
3,100,1
3,104,1
3,136,1
3,137,1
3,147,1
4,58,1
4,77,1
4,78,1
4,83,1
4,150,1
4,160,1
5,7,4
5,14,1
5,21,4
5,29,1
5,42,9
5,44,4
5,50,2
5,51,1
5,54,1
5,58,330
5,59,1
5,60,1
5,69,4
5,74,1
5,75,1
5,79,1
5,81,308
5,105,1
5,114,4
5,120,1
5,128,1
5,130,4
5,133,48
5,134,1
5,136,35
5,140,1
5,141,1
5,147,160
5,150,63
5,152,4
5,166,1
6,57,1
6,58,1
6,107,1
6,109,1
6,147,1
7,30,1
7,38,1
7,44,4
7,52,1
7,58,276
7,61,1
7,88,6
7,101,12
7,102,4
7,108,9
7,109,1
7,113,4
7,116,1
7,130,6
7,138,1
7,141,1
7,142,1
7,145,4
7,147,198
7,150,208
8,58,1
8,130,1
8,150,1
9,58,6
9,113,12
9,139,1
9,147,1
9,150,6
9,167,1
10,58,1
10,70,1
10,146,1
11,58,4
11,73,4
11,75,4
11,93,4
11,129,2
12,58,4
12,76,4
12,156,4
12,170,4
13,27,1
13,58,4
13,116,4
13,117,1
13,124,1
13,147,1
13,157,9
14,58,1
14,81,1
14,133,1
14,141,1
15,39,1
15,58,1
15,92,1
15,109,1
15,148,1
16,23,1
16,58,1
16,109,1
16,159,1
17,58,1
17,75,1
18,58,1
18,88,1
18,130,1
18,151,1
19,28,1
19,58,1
19,65,1
20,58,1
20,63,1
20,87,1
20,99,1
20,147,1
21,24,2
21,58,4
21,81,4
21,136,1
21,147,9
21,150,2
21,157,2
22,58,1
22,116,1
22,122,1
23,58,1
23,109,1
23,159,1
24,147,1
24,150,4
24,157,2
25,58,1
25,110,1
25,136,1
25,150,1
26,58,1
26,66,1
27,58,1
27,116,1
27,157,1
28,58,1
28,65,1
29,58,9
29,105,9
29,131,1
29,147,4
29,150,1
30,58,1
30,147,1
31,58,1
31,119,1
31,154,1
31,155,1
32,57,1
32,115,1
32,121,1
33,58,1
33,116,1
33,122,1
33,145,1
33,147,1
34,58,9
34,110,4
34,147,9
34,150,9
35,58,4
35,80,1
35,109,4
35,123,4
35,157,1
35,162,1
36,112,4
36,150,4
36,163,4
37,58,4
37,75,4
37,96,1
37,147,1
37,150,1
38,58,1
38,113,1
38,142,1
38,147,1
38,150,1
39,58,1
39,92,1
39,109,1
39,148,1
40,58,4
40,81,4
40,133,4
40,169,4
41,58,2
41,62,2
41,72,2
41,90,2
41,97,2
41,157,2
42,58,9
42,81,9
42,130,1
42,150,1
43,58,4
43,134,2
43,147,4
43,150,1
44,56,4
44,58,1
44,75,1
44,147,12
44,150,16
45,81,1
45,143,1
45,147,1
45,150,1
46,58,1
46,129,1
47,58,1
47,68,1
47,102,1
47,109,1
47,161,1
48,58,1
48,94,1
48,99,1
48,109,1
48,150,1
49,58,1
49,105,1
49,131,1
50,81,1
50,130,1
50,147,2
51,58,1
51,79,1
51,81,1
51,150,1
52,58,1
52,147,1
52,150,1
53,58,1
53,100,1
53,136,1
53,137,1
54,58,1
54,60,1
54,81,1
54,133,1
55,58,1
55,126,1
55,147,1
55,150,1
56,58,20
56,75,1
56,86,1
56,147,30
56,150,30
57,107,1
57,115,1
57,121,1
58,59,1
58,60,1
58,61,1
58,62,6
58,63,1
58,64,1
58,65,1
58,66,1
58,67,4
58,68,1
58,69,4
58,70,1
58,71,4
58,72,2
58,73,1
58,74,2
58,75,48
58,76,4
58,77,2
58,78,1
58,79,1
58,80,30
58,81,456
58,82,1
58,83,1
58,84,1
58,85,1
58,86,1
58,87,1
58,88,12
58,89,9
58,90,4
58,91,1
58,92,1
58,93,1
58,94,4
58,95,1
58,96,4
58,97,2
58,99,2
58,100,4
58,101,40
58,102,30
58,104,1
58,105,16
58,106,2
58,108,9
58,109,209
58,110,20
58,113,72
58,114,4
58,116,120
58,118,1
58,119,1
58,120,9
58,122,45
58,123,84
58,124,1
58,126,1
58,128,12
58,129,4
58,130,48
58,131,2
58,132,1
58,133,216
58,134,40
58,135,2
58,136,65
58,137,1
58,138,20
58,139,1
58,140,1
58,141,4
58,142,9
58,143,14
58,145,50
58,146,1
58,147,1472
58,148,1
58,150,1136
58,151,1
58,152,4
58,153,1
58,154,1
58,155,1
58,156,4
58,157,77
58,158,4
58,159,1
58,160,1
58,161,1
58,162,1
58,164,24
58,165,20
58,166,1
58,167,1
58,168,9
58,169,4
58,170,4
59,81,1
59,147,1
60,81,1
60,133,1
61,108,1
61,150,1
62,72,2
62,90,2
62,97,2
62,123,1
62,147,1
62,157,6
63,87,1
63,98,1
63,99,2
63,103,1
63,111,1
63,125,1
63,127,1
63,147,3
64,118,1
64,133,1
67,80,4
67,101,1
67,109,4
67,123,4
68,102,1
68,109,1
68,161,1
69,81,4
69,133,4
70,146,1
71,134,4
71,147,4
72,90,2
72,97,2
72,157,2
73,75,1
73,93,1
73,129,1
74,81,2
74,136,1
74,143,1
74,150,1
74,166,1
75,89,1
75,93,1
75,96,1
75,102,1
75,116,1
75,129,1
75,134,1
75,145,1
75,147,12
75,150,4
75,168,1
76,156,4
76,170,4
77,78,1
77,81,1
77,83,1
77,147,1
77,150,2
77,160,1
78,83,1
78,150,1
78,160,1
79,81,1
79,150,1
80,85,1
80,94,1
80,101,1
80,109,36
80,123,20
80,150,1
80,162,1
81,82,1
81,104,1
81,114,4
81,120,9
81,128,1
81,130,4
81,133,130
81,136,50
81,140,1
81,141,1
81,143,14
81,147,140
81,149,1
81,150,96
81,152,4
81,158,1
81,166,1
81,169,4
82,136,1
82,143,1
82,147,1
83,150,1
83,160,1
84,124,1
84,147,1
84,157,1
85,109,1
85,123,1
86,147,1
86,150,1
87,99,1
87,147,1
88,101,4
88,130,1
88,147,4
88,151,1
89,91,1
89,102,9
89,168,9
90,97,2
90,157,2
91,102,1
91,168,1
92,109,1
92,148,1
93,129,1
94,99,1
94,109,4
94,150,4
95,123,1
95,147,1
95,157,1
96,101,1
96,147,1
96,150,1
97,157,4
98,103,1
98,111,1
98,127,1
98,147,1
99,109,1
99,125,2
99,147,2
99,150,4
100,109,1
100,123,1
100,133,1
100,136,1
100,137,1
101,102,4
101,106,2
101,109,1
101,123,1
101,135,2
101,147,20
101,150,1
102,109,1
102,147,4
102,161,1
102,168,9
103,111,1
103,127,1
103,147,1
104,147,1
105,131,12
105,144,1
105,147,16
105,150,1
106,135,2
108,150,9
109,110,2
109,113,1
109,123,48
109,130,1
109,133,4
109,147,25
109,148,1
109,150,30
109,153,1
109,157,4
109,159,1
109,161,1
109,162,1
109,164,1
110,130,1
110,136,1
110,147,9
110,150,24
110,153,1
111,127,1
111,147,1
112,150,4
112,163,4
113,128,1
113,138,1
113,139,1
113,142,1
113,147,70
113,150,84
113,167,1
114,150,4
115,121,1
116,122,36
116,123,1
116,145,24
116,147,36
116,157,16
117,124,1
117,147,1
117,157,1
118,133,1
119,154,1
119,155,1
120,133,4
120,150,9
122,145,15
122,147,28
122,157,1
123,133,1
123,147,16
123,157,20
123,162,1
123,164,1
123,165,1
124,147,4
124,157,4
125,147,1
125,150,1
126,147,1
126,150,1
127,147,1
128,130,4
128,136,4
128,147,20
128,150,12
130,136,1
130,147,12
130,150,30
130,151,1
131,144,1
131,147,4
132,145,1
132,150,1
133,141,1
133,147,16
133,149,1
133,150,25
133,152,4
133,164,4
133,165,1
133,169,4
134,147,35
134,150,1
136,137,1
136,143,8
136,147,45
136,150,8
136,158,4
138,147,20
138,150,20
139,150,1
141,147,1
141,150,1
142,147,9
142,150,9
143,147,10
143,150,12
143,158,4
144,147,1
145,147,30
145,150,4
147,150,880
147,157,35
147,164,24
147,165,15
149,150,1
150,153,1
150,157,2
150,158,4
150,160,1
150,163,4
150,164,12
150,165,6
150,166,1
154,155,1
156,170,4
164,165,15
