node_id,label,type,reviews
David_6343345,David,reviewer,66
Ken_39397787,Ken,reviewer,56
Paul_77645251,Paul,reviewer,53
Patrick_68447360,Patrick,reviewer,53
David_78093968,David,reviewer,45
Grahame_26701678,Grahame,reviewer,40
Wayne & Kate_980703,Wayne & Kate,reviewer,40
Byron_150884075,Byron,reviewer,40
Lisa_10572577,Lisa,reviewer,37
Sione_43861095,Sione,reviewer,36
Ennis_136852553,Ennis,reviewer,34
Keith_169191690,Keith,reviewer,34
Roger_52492105,Roger,reviewer,33
Rochelle_46757748,Rochelle,reviewer,32
James_12379656,James,reviewer,31
Shin Khoon_120060989,Shin Khoon,reviewer,30
Jessica LL_161023168,Jessica LL,reviewer,29
Lucy_25823448,Lucy,reviewer,29
Robert_34810344,Robert,reviewer,29
Chris_59485085,Chris,reviewer,28
Robert_45047906,Robert,reviewer,28
Grant_5192518,Grant,reviewer,28
Phil_75144789,Phil,reviewer,27
Doug_82933395,Doug,reviewer,27
Thalia_110669788,Thalia,reviewer,27
Karlene_54140297,Karlene,reviewer,26
Chris_23662728,Chris,reviewer,26
Mei Ling_8511105,Mei Ling,reviewer,26
Laurence_15500371,Laurence,reviewer,26
James_40167378,James,reviewer,26
Marian_56997244,Marian,reviewer,25
Geoff_170816828,Geoff,reviewer,24
Christopher_118638620,Christopher,reviewer,24
Dirk_2318728,Dirk,reviewer,24
Bradley_135558719,Bradley,reviewer,24
Anwer_13323398,Anwer,reviewer,24
Khalil_105864487,Khalil,reviewer,24
Kevin_13579905,Kevin,reviewer,24
Richard_24983681,Richard,reviewer,24
Laurent_19898164,Laurent,reviewer,24
Melissa_38714873,Melissa,reviewer,24
Tim_174294896,Tim,reviewer,24
Rodrigo_9239619,Rodrigo,reviewer,24
Christian & Kirsty_23220564,Christian & Kirsty,reviewer,23
Justin_120821995,Justin,reviewer,23
Jeremy_24887701,Jeremy,reviewer,23
Nick_67084875,Nick,reviewer,23
Kenneth_24272062,Kenneth,reviewer,22
Del_7344835,Del,reviewer,22
Shane_21380244,Shane,reviewer,22
Rong_139188434,Rong,reviewer,22
Tim_136485397,Tim,reviewer,22
Brooke_2790530,Brooke,reviewer,22
Andrew_26384378,Andrew,reviewer,22
Alex_139394672,Alex,reviewer,22
Beth_50081274,Beth,reviewer,22
Alex P_53096747,Alex P,reviewer,22
Michelle_120819987,Michelle,reviewer,22
Iain_47515177,Iain,reviewer,22
Ashley_132602827,Ashley,reviewer,21
Owen_161091188,Owen,reviewer,21
Shirley & J_21234371,Shirley & J,reviewer,21
Stephen_168806289,Stephen,reviewer,21
Tiffany_43195788,Tiffany,reviewer,21
Tim_15626511,Tim,reviewer,21
Janet_100834001,Janet,reviewer,21
Matthew_83195593,Matthew,reviewer,20
Alison_6137657,Alison,reviewer,20
Mel & Richard_30019772,Mel & Richard,reviewer,20
Andrew_81208312,Andrew,reviewer,20
Philip_131393623,Philip,reviewer,20
James_93426040,James,reviewer,20
Derek_118614440,Derek,reviewer,20
Natalie_7942848,Natalie,reviewer,20
Ross_68805275,Ross,reviewer,20
Graham_29779693,Graham,reviewer,20
Vaughn_27752032,Vaughn,reviewer,20
(L) 10295733,(L) 10295733,listing,46
(L) 7700641,(L) 7700641,listing,33
(L) 10860967,(L) 10860967,listing,31
(L) 6534880,(L) 6534880,listing,26
(L) 21937462,(L) 21937462,listing,26
(L) 9332510,(L) 9332510,listing,24
(L) 8831721,(L) 8831721,listing,23
(L) 3877598,(L) 3877598,listing,22
(L) 12434800,(L) 12434800,listing,22
(L) 16150505,(L) 16150505,listing,21
(L) 19142277,(L) 19142277,listing,21
(L) 15279275,(L) 15279275,listing,20
(L) 4166124,(L) 4166124,listing,18
(L) 9188113,(L) 9188113,listing,17
(L) 8977590,(L) 8977590,listing,17
(L) 1253351,(L) 1253351,listing,16
(L) 23528360,(L) 23528360,listing,16
(L) 21925294,(L) 21925294,listing,15
(L) 16548266,(L) 16548266,listing,15
(L) 10995325,(L) 10995325,listing,15
(L) 6438273,(L) 6438273,listing,14
(L) 22295354,(L) 22295354,listing,14
(L) 9245388,(L) 9245388,listing,14
(L) 5014943,(L) 5014943,listing,12
(L) 16817510,(L) 16817510,listing,11
(L) 12897385,(L) 12897385,listing,11
(L) 12114078,(L) 12114078,listing,11
(L) 26669688,(L) 26669688,listing,10
(L) 22124010,(L) 22124010,listing,9
(L) 14094396,(L) 14094396,listing,9
(L) 11480581,(L) 11480581,listing,9
(L) 16975413,(L) 16975413,listing,9
(L) 18773556,(L) 18773556,listing,9
(L) 15746873,(L) 15746873,listing,9
(L) 11460324,(L) 11460324,listing,9
(L) 4888502,(L) 4888502,listing,8
(L) 8331998,(L) 8331998,listing,8
(L) 8506353,(L) 8506353,listing,8
(L) 9202537,(L) 9202537,listing,8
(L) 12839487,(L) 12839487,listing,8
(L) 3265015,(L) 3265015,listing,8
(L) 5993432,(L) 5993432,listing,8
(L) 12571143,(L) 12571143,listing,7
(L) 223221,(L) 223221,listing,7
(L) 3743191,(L) 3743191,listing,7
(L) 2893200,(L) 2893200,listing,7
(L) 15398262,(L) 15398262,listing,7
(L) 10211390,(L) 10211390,listing,7
(L) 15044083,(L) 15044083,listing,7
(L) 10928947,(L) 10928947,listing,7
(L) 8617383,(L) 8617383,listing,6
(L) 17560855,(L) 17560855,listing,6
(L) 23441110,(L) 23441110,listing,6
(L) 18762366,(L) 18762366,listing,6
(L) 9519433,(L) 9519433,listing,6
(L) 14475170,(L) 14475170,listing,6
(L) 3265676,(L) 3265676,listing,5
(L) 16562839,(L) 16562839,listing,5
(L) 5981263,(L) 5981263,listing,5
(L) 426398,(L) 426398,listing,5
(L) 23550293,(L) 23550293,listing,5
(L) 20141478,(L) 20141478,listing,5
(L) 11148977,(L) 11148977,listing,5
(L) 8332544,(L) 8332544,listing,5
(L) 10003982,(L) 10003982,listing,5
(L) 8955421,(L) 8955421,listing,5
(L) 22109673,(L) 22109673,listing,5
(L) 20372066,(L) 20372066,listing,5
(L) 16102516,(L) 16102516,listing,5
(L) 13210097,(L) 13210097,listing,5
(L) 14603132,(L) 14603132,listing,5
(L) 3947896,(L) 3947896,listing,5
(L) 8583304,(L) 8583304,listing,5
(L) 21625489,(L) 21625489,listing,5
(L) 2244154,(L) 2244154,listing,5
(L) 19025923,(L) 19025923,listing,4
(L) 23788626,(L) 23788626,listing,4
(L) 15825979,(L) 15825979,listing,4
(L) 23844807,(L) 23844807,listing,4
(L) 21721150,(L) 21721150,listing,4
(L) 20606265,(L) 20606265,listing,4
(L) 783928,(L) 783928,listing,4
(L) 4247960,(L) 4247960,listing,4
(L) 19770551,(L) 19770551,listing,4
(L) 12044261,(L) 12044261,listing,4
(L) 19755847,(L) 19755847,listing,4
(L) 23459976,(L) 23459976,listing,4
(L) 652063,(L) 652063,listing,4
(L) 7680007,(L) 7680007,listing,4
(L) 1949398,(L) 1949398,listing,4
(L) 12814872,(L) 12814872,listing,4
(L) 13239461,(L) 13239461,listing,4
(L) 7042470,(L) 7042470,listing,4
(L) 3953704,(L) 3953704,listing,4
(L) 4766604,(L) 4766604,listing,4
(L) 16045570,(L) 16045570,listing,4
(L) 4755217,(L) 4755217,listing,4
(L) 2304942,(L) 2304942,listing,4
(L) 21940524,(L) 21940524,listing,4
(L) 4937277,(L) 4937277,listing,3
(L) 14940179,(L) 14940179,listing,3
(L) 5784919,(L) 5784919,listing,3
(L) 6349130,(L) 6349130,listing,3
(L) 9566883,(L) 9566883,listing,3
(L) 14019426,(L) 14019426,listing,3
(L) 9265665,(L) 9265665,listing,3
(L) 4184965,(L) 4184965,listing,3
(L) 23095433,(L) 23095433,listing,3
(L) 26261842,(L) 26261842,listing,3
(L) 19852401,(L) 19852401,listing,3
(L) 15099899,(L) 15099899,listing,3
(L) 20505575,(L) 20505575,listing,3
(L) 28045307,(L) 28045307,listing,3
(L) 21308964,(L) 21308964,listing,3
(L) 14224677,(L) 14224677,listing,3
(L) 19062323,(L) 19062323,listing,3
(L) 8524883,(L) 8524883,listing,3
(L) 387130,(L) 387130,listing,3
(L) 23208027,(L) 23208027,listing,3
(L) 17763675,(L) 17763675,listing,3
(L) 16007568,(L) 16007568,listing,3
(L) 18081448,(L) 18081448,listing,3
(L) 22558475,(L) 22558475,listing,3
(L) 19420826,(L) 19420826,listing,3
(L) 295480,(L) 295480,listing,3
(L) 15501219,(L) 15501219,listing,3
(L) 23567299,(L) 23567299,listing,3
(L) 14616342,(L) 14616342,listing,3
(L) 18112846,(L) 18112846,listing,3
(L) 11263845,(L) 11263845,listing,3
(L) 23363936,(L) 23363936,listing,3
(L) 23045093,(L) 23045093,listing,3
(L) 4448723,(L) 4448723,listing,3
(L) 304835,(L) 304835,listing,3
(L) 27207671,(L) 27207671,listing,3
(L) 19317454,(L) 19317454,listing,3
(L) 8782702,(L) 8782702,listing,3
(L) 22709306,(L) 22709306,listing,3
(L) 12810756,(L) 12810756,listing,3
(L) 18637325,(L) 18637325,listing,3
(L) 1718606,(L) 1718606,listing,3
(L) 13941742,(L) 13941742,listing,3
(L) 1966675,(L) 1966675,listing,3
(L) 745024,(L) 745024,listing,3
(L) 4590927,(L) 4590927,listing,3
(L) 18694945,(L) 18694945,listing,3
(L) 13675327,(L) 13675327,listing,3
(L) 25377947,(L) 25377947,listing,3
(L) 12497257,(L) 12497257,listing,3
(L) 1349941,(L) 1349941,listing,3
(L) 1060458,(L) 1060458,listing,3
(L) 22048724,(L) 22048724,listing,3
(L) 8317766,(L) 8317766,listing,3
(L) 16258146,(L) 16258146,listing,3
(L) 27744611,(L) 27744611,listing,2
(L) 6837442,(L) 6837442,listing,2
(L) 15167430,(L) 15167430,listing,2
(L) 3013026,(L) 3013026,listing,2
(L) 13523243,(L) 13523243,listing,2
(L) 26863884,(L) 26863884,listing,2
(L) 28351491,(L) 28351491,listing,2
(L) 5491278,(L) 5491278,listing,2
(L) 25378101,(L) 25378101,listing,2
(L) 8991803,(L) 8991803,listing,2
(L) 8461067,(L) 8461067,listing,2
(L) 619474,(L) 619474,listing,2
(L) 4157766,(L) 4157766,listing,2
(L) 23510317,(L) 23510317,listing,2
(L) 30054848,(L) 30054848,listing,2
(L) 20458949,(L) 20458949,listing,2
(L) 14999903,(L) 14999903,listing,2
(L) 15257722,(L) 15257722,listing,2
(L) 12395172,(L) 12395172,listing,2
(L) 16598911,(L) 16598911,listing,2
(L) 17032864,(L) 17032864,listing,2
(L) 16326207,(L) 16326207,listing,2
(L) 21639809,(L) 21639809,listing,2
(L) 13932915,(L) 13932915,listing,2
(L) 23967444,(L) 23967444,listing,2
(L) 10026712,(L) 10026712,listing,2
(L) 21568485,(L) 21568485,listing,2
(L) 21384244,(L) 21384244,listing,2
(L) 22048655,(L) 22048655,listing,2
(L) 14521064,(L) 14521064,listing,2
(L) 4876374,(L) 4876374,listing,2
(L) 869520,(L) 869520,listing,2
(L) 9699920,(L) 9699920,listing,2
(L) 9844656,(L) 9844656,listing,2
(L) 14030846,(L) 14030846,listing,2
(L) 14622440,(L) 14622440,listing,2
(L) 24412630,(L) 24412630,listing,2
(L) 23469623,(L) 23469623,listing,2
(L) 5526079,(L) 5526079,listing,2
(L) 18467431,(L) 18467431,listing,2
(L) 9049446,(L) 9049446,listing,2
(L) 23529310,(L) 23529310,listing,2
(L) 7403055,(L) 7403055,listing,2
(L) 21816636,(L) 21816636,listing,2
(L) 11020313,(L) 11020313,listing,2
(L) 2723564,(L) 2723564,listing,2
(L) 5751561,(L) 5751561,listing,2
(L) 21971426,(L) 21971426,listing,2
(L) 10320098,(L) 10320098,listing,2
(L) 7521604,(L) 7521604,listing,2
(L) 7132426,(L) 7132426,listing,2
(L) 15835075,(L) 15835075,listing,2
(L) 11103711,(L) 11103711,listing,2
(L) 22189155,(L) 22189155,listing,2
(L) 21519998,(L) 21519998,listing,2
(L) 9114694,(L) 9114694,listing,2
(L) 9349911,(L) 9349911,listing,2
(L) 19895602,(L) 19895602,listing,2
(L) 5984722,(L) 5984722,listing,2
(L) 23673439,(L) 23673439,listing,2
(L) 15327450,(L) 15327450,listing,2
(L) 12176184,(L) 12176184,listing,2
(L) 11662571,(L) 11662571,listing,2
(L) 4917336,(L) 4917336,listing,2
(L) 12351,(L) 12351,listing,2
(L) 4106027,(L) 4106027,listing,2
(L) 22329806,(L) 22329806,listing,2
(L) 18042924,(L) 18042924,listing,2
(L) 8292666,(L) 8292666,listing,2
(L) 21128806,(L) 21128806,listing,2
(L) 10840037,(L) 10840037,listing,2
(L) 9945151,(L) 9945151,listing,2
(L) 17275276,(L) 17275276,listing,2
(L) 21329062,(L) 21329062,listing,2
(L) 4698283,(L) 4698283,listing,2
(L) 16580806,(L) 16580806,listing,2
(L) 23132874,(L) 23132874,listing,2
(L) 21270439,(L) 21270439,listing,2
(L) 5622326,(L) 5622326,listing,2
(L) 16445733,(L) 16445733,listing,2
(L) 21952924,(L) 21952924,listing,2
(L) 8942973,(L) 8942973,listing,2
(L) 4431401,(L) 4431401,listing,2
(L) 16286231,(L) 16286231,listing,2
(L) 12800606,(L) 12800606,listing,2
(L) 846696,(L) 846696,listing,2
(L) 15317060,(L) 15317060,listing,2
(L) 7054719,(L) 7054719,listing,2
(L) 15359826,(L) 15359826,listing,2
(L) 25000686,(L) 25000686,listing,2
(L) 2093730,(L) 2093730,listing,2
(L) 19742639,(L) 19742639,listing,2
(L) 22722130,(L) 22722130,listing,2
(L) 17514440,(L) 17514440,listing,2
(L) 22722590,(L) 22722590,listing,2
(L) 14863133,(L) 14863133,listing,2
(L) 16745047,(L) 16745047,listing,2
(L) 13481300,(L) 13481300,listing,2
(L) 27527423,(L) 27527423,listing,2
(L) 28670742,(L) 28670742,listing,2
(L) 20459691,(L) 20459691,listing,2
(L) 20961337,(L) 20961337,listing,2
(L) 837794,(L) 837794,listing,2
(L) 26169398,(L) 26169398,listing,2
(L) 2160385,(L) 2160385,listing,2
(L) 25016203,(L) 25016203,listing,2
(L) 20666669,(L) 20666669,listing,2
(L) 73639,(L) 73639,listing,2
(L) 6046427,(L) 6046427,listing,2
(L) 22066434,(L) 22066434,listing,2
(L) 22094539,(L) 22094539,listing,2
(L) 23135378,(L) 23135378,listing,2
(L) 22020768,(L) 22020768,listing,2
(L) 24517938,(L) 24517938,listing,2
(L) 4624297,(L) 4624297,listing,2
(L) 15153632,(L) 15153632,listing,2
(L) 21924804,(L) 21924804,listing,2
(L) 5366904,(L) 5366904,listing,2
(L) 12256510,(L) 12256510,listing,2
(L) 20447092,(L) 20447092,listing,2
(L) 318591,(L) 318591,listing,2
(L) 13438832,(L) 13438832,listing,2
(L) 396335,(L) 396335,listing,2
(L) 1769170,(L) 1769170,listing,2
(L) 9050938,(L) 9050938,listing,2
(L) 20137332,(L) 20137332,listing,2
(L) 21362838,(L) 21362838,listing,2
(L) 9928529,(L) 9928529,listing,2
(L) 22710517,(L) 22710517,listing,2
(L) 23398105,(L) 23398105,listing,2
(L) 19878627,(L) 19878627,listing,2
(L) 26108345,(L) 26108345,listing,2
(L) 12744324,(L) 12744324,listing,1
(L) 7368072,(L) 7368072,listing,1
(L) 4088562,(L) 4088562,listing,1
(L) 1910165,(L) 1910165,listing,1
(L) 17804545,(L) 17804545,listing,1
(L) 9963077,(L) 9963077,listing,1
(L) 8374962,(L) 8374962,listing,1
(L) 23830086,(L) 23830086,listing,1
(L) 17333266,(L) 17333266,listing,1
(L) 26437841,(L) 26437841,listing,1
(L) 4972252,(L) 4972252,listing,1
(L) 22284793,(L) 22284793,listing,1
(L) 17915374,(L) 17915374,listing,1
(L) 17703795,(L) 17703795,listing,1
(L) 5178277,(L) 5178277,listing,1
(L) 21684408,(L) 21684408,listing,1
(L) 1877472,(L) 1877472,listing,1
(L) 2505762,(L) 2505762,listing,1
(L) 3657826,(L) 3657826,listing,1
(L) 10456538,(L) 10456538,listing,1
(L) 9811835,(L) 9811835,listing,1
(L) 818471,(L) 818471,listing,1
(L) 24876214,(L) 24876214,listing,1
(L) 18843931,(L) 18843931,listing,1
(L) 28146117,(L) 28146117,listing,1
(L) 23255721,(L) 23255721,listing,1
(L) 5560772,(L) 5560772,listing,1
(L) 21017098,(L) 21017098,listing,1
(L) 726883,(L) 726883,listing,1
(L) 26961458,(L) 26961458,listing,1
(L) 11956630,(L) 11956630,listing,1
(L) 28263099,(L) 28263099,listing,1
(L) 3774294,(L) 3774294,listing,1
(L) 9452970,(L) 9452970,listing,1
(L) 5138641,(L) 5138641,listing,1
(L) 389876,(L) 389876,listing,1
(L) 21016099,(L) 21016099,listing,1
(L) 20460589,(L) 20460589,listing,1
(L) 10384715,(L) 10384715,listing,1
(L) 15275816,(L) 15275816,listing,1
(L) 14925384,(L) 14925384,listing,1
(L) 17016465,(L) 17016465,listing,1
(L) 837407,(L) 837407,listing,1
(L) 23588730,(L) 23588730,listing,1
(L) 23889225,(L) 23889225,listing,1
(L) 22329109,(L) 22329109,listing,1
(L) 21490486,(L) 21490486,listing,1
(L) 10931622,(L) 10931622,listing,1
(L) 2877534,(L) 2877534,listing,1
(L) 16353148,(L) 16353148,listing,1
(L) 12934659,(L) 12934659,listing,1
(L) 16445449,(L) 16445449,listing,1
(L) 4776738,(L) 4776738,listing,1
(L) 23735284,(L) 23735284,listing,1
(L) 12280403,(L) 12280403,listing,1
(L) 25136313,(L) 25136313,listing,1
(L) 25459716,(L) 25459716,listing,1
(L) 13804295,(L) 13804295,listing,1
(L) 16749067,(L) 16749067,listing,1
(L) 952331,(L) 952331,listing,1
(L) 17945015,(L) 17945015,listing,1
(L) 10636588,(L) 10636588,listing,1
(L) 13348808,(L) 13348808,listing,1
(L) 15942066,(L) 15942066,listing,1
(L) 1803477,(L) 1803477,listing,1
(L) 28696186,(L) 28696186,listing,1
(L) 23422413,(L) 23422413,listing,1
(L) 18829606,(L) 18829606,listing,1
(L) 14956501,(L) 14956501,listing,1
(L) 20887384,(L) 20887384,listing,1
(L) 26261823,(L) 26261823,listing,1
(L) 16136713,(L) 16136713,listing,1
(L) 17126992,(L) 17126992,listing,1
(L) 19170060,(L) 19170060,listing,1
(L) 29637504,(L) 29637504,listing,1
(L) 18163567,(L) 18163567,listing,1
(L) 5041030,(L) 5041030,listing,1
(L) 9241437,(L) 9241437,listing,1
(L) 17175171,(L) 17175171,listing,1
(L) 2546323,(L) 2546323,listing,1
(L) 20578794,(L) 20578794,listing,1
(L) 12660130,(L) 12660130,listing,1
(L) 23257112,(L) 23257112,listing,1
(L) 21771768,(L) 21771768,listing,1
(L) 22458746,(L) 22458746,listing,1
(L) 5698406,(L) 5698406,listing,1
(L) 7423995,(L) 7423995,listing,1
(L) 19829650,(L) 19829650,listing,1
(L) 26372220,(L) 26372220,listing,1
(L) 13852692,(L) 13852692,listing,1
(L) 28840363,(L) 28840363,listing,1
(L) 4759609,(L) 4759609,listing,1
(L) 8997080,(L) 8997080,listing,1
(L) 14872806,(L) 14872806,listing,1
(L) 10497704,(L) 10497704,listing,1
(L) 23582895,(L) 23582895,listing,1
(L) 13676035,(L) 13676035,listing,1
(L) 15513928,(L) 15513928,listing,1
(L) 18449103,(L) 18449103,listing,1
(L) 23022325,(L) 23022325,listing,1
(L) 1161392,(L) 1161392,listing,1
(L) 20677795,(L) 20677795,listing,1
(L) 18142759,(L) 18142759,listing,1
(L) 4559006,(L) 4559006,listing,1
(L) 21830042,(L) 21830042,listing,1
(L) 5999550,(L) 5999550,listing,1
(L) 14738007,(L) 14738007,listing,1
(L) 6998958,(L) 6998958,listing,1
(L) 27475124,(L) 27475124,listing,1
(L) 2077065,(L) 2077065,listing,1
(L) 21571014,(L) 21571014,listing,1
(L) 10732560,(L) 10732560,listing,1
(L) 13117717,(L) 13117717,listing,1
(L) 16785366,(L) 16785366,listing,1
(L) 10483638,(L) 10483638,listing,1
(L) 14406658,(L) 14406658,listing,1
(L) 22016584,(L) 22016584,listing,1
(L) 9827731,(L) 9827731,listing,1
(L) 13848078,(L) 13848078,listing,1
(L) 9718091,(L) 9718091,listing,1
(L) 5288331,(L) 5288331,listing,1
(L) 11193227,(L) 11193227,listing,1
(L) 21682152,(L) 21682152,listing,1
(L) 11209443,(L) 11209443,listing,1
(L) 22065141,(L) 22065141,listing,1
(L) 16394059,(L) 16394059,listing,1
(L) 10318389,(L) 10318389,listing,1
(L) 25709250,(L) 25709250,listing,1
(L) 23882856,(L) 23882856,listing,1
(L) 22540890,(L) 22540890,listing,1
(L) 19555904,(L) 19555904,listing,1
(L) 9219104,(L) 9219104,listing,1
(L) 5708726,(L) 5708726,listing,1
(L) 2495704,(L) 2495704,listing,1
(L) 12012516,(L) 12012516,listing,1
(L) 7500580,(L) 7500580,listing,1
(L) 15603682,(L) 15603682,listing,1
(L) 28086269,(L) 28086269,listing,1
(L) 945795,(L) 945795,listing,1
(L) 16046333,(L) 16046333,listing,1
(L) 4387602,(L) 4387602,listing,1
(L) 16837230,(L) 16837230,listing,1
(L) 20140237,(L) 20140237,listing,1
(L) 23999472,(L) 23999472,listing,1
(L) 26348729,(L) 26348729,listing,1
(L) 21016866,(L) 21016866,listing,1
(L) 15989240,(L) 15989240,listing,1
(L) 6361931,(L) 6361931,listing,1
(L) 12610247,(L) 12610247,listing,1
(L) 16327927,(L) 16327927,listing,1
(L) 6677630,(L) 6677630,listing,1
(L) 5126717,(L) 5126717,listing,1
(L) 22799007,(L) 22799007,listing,1
(L) 10891485,(L) 10891485,listing,1
(L) 8585205,(L) 8585205,listing,1
(L) 20004779,(L) 20004779,listing,1
(L) 29891617,(L) 29891617,listing,1
(L) 3209999,(L) 3209999,listing,1
(L) 28951925,(L) 28951925,listing,1
(L) 17011425,(L) 17011425,listing,1
(L) 20395354,(L) 20395354,listing,1
(L) 16964637,(L) 16964637,listing,1
(L) 10840047,(L) 10840047,listing,1
(L) 17943925,(L) 17943925,listing,1
(L) 6939281,(L) 6939281,listing,1
(L) 25325049,(L) 25325049,listing,1
(L) 23773079,(L) 23773079,listing,1
(L) 5979856,(L) 5979856,listing,1
(L) 14029665,(L) 14029665,listing,1
(L) 5185720,(L) 5185720,listing,1
(L) 1903284,(L) 1903284,listing,1
